Тип,Категория,Родитель,Товаров,Полнота_данных,Популярная_категория,Материал_рекомендуемый,Количество_диапазонов,Есть_диапазоны_БД,Есть_данные_CSV,Есть_ставки_транспорт,Есть_материалы,Есть_сертификаты,Медиана_цены_руб,Медиана_плотности,Медиана_тиража,Ставка_жд_базовая,Ставка_авиа_базовая,Сертификаты_требуемые
main,лейка,,8,🔵 ТОЛЬКО БД,,,4,True,False,False,False,False,1844.810838541666,,1125.0,,,
main,расческа,,7,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,402.208850308642,108.1014223871367,1500.0,,,
main,мешочек,,7,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,68.86310810185185,408.4564860426929,7500.0,,,
main,веревка,,7,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,138.7156555555564,259.4086021505376,5000.0,,,
main,микрофон,,6,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,3411.669791666674,181.4882032667877,225.0,,,
main,эспандер,,6,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,390.4845009920634,283.1723805704889,1025.0,,,
main,соска,,5,🔵 ТОЛЬКО БД,,,4,True,False,False,False,False,332.0135,122.5490196078431,750.0,,,
main,резинка,,5,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,78.13256574074076,544.6623093681917,4000.0,,,
main,степлер,,5,🔵 ТОЛЬКО БД,,,4,True,False,False,False,False,126.0058298611111,,2700.0,,,
main,тонометр,,4,🔵 ТОЛЬКО БД,,,4,True,False,False,False,False,4154.394321759259,80.23140374331551,450.0,,,
main,освежитель_воздуха,,4,🔵 ТОЛЬКО БД,,,4,True,False,False,False,False,1494.696735889293,170.297619047619,925.0,,,
main,отвертка,,4,🔵 ТОЛЬКО БД,,,4,True,False,False,False,False,4058.504527083333,794.3714465453595,675.0,,,
main,вилка,,3,🔵 ТОЛЬКО БД,,,4,True,False,False,False,False,432.1105555555555,1630.65953654189,1500.0,,,
main,плоскогубцы,,3,🔵 ТОЛЬКО БД,,,4,True,False,False,False,False,649.0048050925927,946.3219748787463,600.0,,,
main,карточка,,3,🔵 ТОЛЬКО БД,,,4,True,False,False,False,False,100.32,453.3333333333334,15000.0,,,
