,"Бутылки, стаканы, одноразовые стаканы, складные","пластик, тритан, полипропилен, PS, PP",https://disk.yandex.ru/d/t78FVu1uXypoMg,170,600,"6,1","98,34775767","4,3","6,4","5,91","9,21",ДС,есть,,,,,,,
,Бутылки ,стекло ,https://disk.yandex.ru/d/xYVi4HWTfIa1sA,190,1273,"5,89","216,1290323",4,"6,1",4,"6,1",ДС,есть,,,,,,,
,"Термосы, термобутылки, термокружки, термостаканы, кофферы","металл (нержавеющая сталь, алюминий)",https://disk.yandex.ru/d/71V1c24KCKEqhg,150,1080,"5,71","189,1418564","4,6","6,7","4,6","6,7",,,,,,,,,
,Посуда (тарелки и кружки),металл,https://disk.yandex.ru/d/Skn8umTCI3iozw,140,"16,9","0,24","70,41666667","4,6","6,7","7,43","12,24",ДС,есть,,,,,,,
,Посуда,фарфор,https://disk.yandex.ru/d/FCsFAFLDAqAtyg,400,"266,66","1,45","183,9034483",4,"6,1",4,"6,1",,,,,,,,,
,Посуда,керамика,https://disk.yandex.ru/d/is5ug0y9c-dI0w,150,"166,7","0,6142195208","271,4013384",4,"6,1",4,"6,1",ДС,есть,,,,,,,
,Блендеры,"пластик, стекло 

Товар с аккумулятором",https://disk.yandex.ru/d/9rq6Rp7lLlCURg,"170

Совет: для небольшого тиража считаем Карго 

Часть тиража можно отправить ХВ - для получения нужных сертификатов, а бОльшую часть тиража карго",200,1,200,5,"6,1",5,"6,1",ДС/СС,нет,,,,,,,
,Грелки,"пластик, металл

Товар с аккумулятором",https://disk.yandex.ru/d/F6afVIQ3BxY7cw,"250

Совет: для небольшого тиража считаем Карго 

Часть тиража можно отправить ХВ - для получения нужных сертификатов, а бОльшую часть тиража карго",200,1,200,"4,9",6,"4,9",6,ДС/СС,нет,,,,,,,
,Мыши,пластик,https://disk.yandex.ru/d/1IUS5cxlRFMPLQ,250,200,1,200,"6,2","8,3","6,2","8,3",ДС,есть,,,,,,,
,Массажеры,"металл, пластик

Товар с аккумулятором",https://disk.yandex.ru/d/p5me3x_CKCd7nw,230,175,"2,34","74,78632479","5,4","7,5","8,23","13,04",ДС/СС,"Нужно уточнять у ХВ, мог просрочиться",,,,,,,
,Колонка,"Пластик 

Товар с аккумулятором",,"180

На каждую колонку просчитываем ставку отдельно - ставка сильно меняется от функционала и характеристик
нужно обязательно писать:
блютус - есть 
радио - нет 
флешка - нет
и прочие характеристики из карточки товара
без этой информации не дадут ставку и будут уточнять",200,1,200,,,,,,,,,,,,,
,"Наушники (и капельки, и полноразмерные)","Пластик 

Товар с аккумулятором",https://disk.yandex.ru/d/XGkOj56TeF8oLA,150,"168,8","0,38","444,2105263","7,8","9,9","7,8","9,9",ДС,есть,,,,,,,
,"Пауэрбанк, повербанк, павербанк, пзу, аккумулятор","Пластик, металл

Литий-полимерная батарея

Товар с аккумулятором",https://disk.yandex.ru/d/1BM3WxXJ9VGBNg,300,17,"0,03927825","432,8095065","5,4","7,5","5,4","7,5",ДС,есть,,,,,,,
,"Докстанция, док станция, беспроводная зарядка, мультизарядка","пластик, металл

Товар с аккумулятором",https://disk.yandex.ru/d/OOcWww9nb_Ic4Q,200,710,"2,27","312,7753304","4,8","6,9","4,8","6,9",ДС/СС,"Нужно уточнять у ХВ, мог просрочиться",,,,,,,
,"Увлажнители, аромадиффузоры","пластик

Товар с аккумулятором",https://disk.yandex.ru/d/ScFP2xKcbOpx7Q,140,100,"0,89","112,3595506","5,5","7,6","6,65","9,57",ДС/СС,нет,,,,,,,
,Лампы настольные умные (с зарядкой),"пластик

Товар с аккумулятором",https://disk.yandex.ru/d/wAlHjUpzuK2mmg,180,330,"1,98","166,6666667","5,1","7,2","5,26","7,37",СС/ДС,"Нужно уточнять у ХВ, мог просрочиться",,,,,,,
,Лампа проектор - звездного неба,"пластик

Товар с аккумулятором",https://disk.yandex.ru/d/tjK5VnbKhrVH_Q,160,200,1,200,"5,1","7,2","5,1","7,2",СС/ДС,"Нужно уточнять у ХВ, мог просрочиться",,,,,,,
,"Лампа ночник, светильник","Пластик, пвх

Товар с аккумулятором",https://disk.yandex.ru/d/HeuEvqILrLf6uA,150,560,"2,41","232,3651452","5,1","7,2","5,1","7,2",СС/ДС,"Нужно уточнять у ХВ, мог просрочиться",,,,,,,
,Фонарики,"металл, пластик",https://disk.yandex.ru/d/sd0aM20rTRiKhg,300,"780,3","3,93","198,5496183","4,2","6,4","4,2","6,4",,,,,,,,,
,Значки ,"сталь,смола, латунь",https://disk.yandex.ru/d/kQz9RFf7tPOGFA,"300

Совет: рассчитать Карго",3,"0,004959","604,9606776","9,1","11,2","9,1","11,2",,,,,,,,,
