Тип,Категория,Родитель,Товаров,Медиана_цены_руб,Медиана_цены_юань,Медиана_тиража,Медиана_плотности,Медиана_транспорта,Цена_руб_мин,Цена_руб_макс,Цена_руб_медиана,Цена_руб_среднее,Цена_руб_стд,Цена_руб_количество,Цена_юань_мин,Цена_юань_макс,Цена_юань_медиана,Цена_юань_среднее,Цена_юань_стд,Цена_юань_количество,Тираж_мин,Тираж_макс,Тираж_медиана,Тираж_среднее,Тираж_стд,Тираж_количество,Плотность_мин,Плотность_макс,Плотность_медиана,Плотность_среднее,Плотность_стд,Плотность_количество,Транспорт_мин,Транспорт_макс,Транспорт_медиана,Транспорт_среднее,Транспорт_стд,Транспорт_количество,Популярная_категория,Материал_рекомендуемый,Плотность_рекомендуемая,Ставка_жд_базовая,Ставка_авиа_базовая,Ставка_жд_по_плотности,Ставка_авиа_по_плотности,Сертификаты_требуемые
popular,Магниты,,23,131.73,2.4,1000.0,260.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Магниты,,,,,,,
popular,Ремувка,,50,98.305,2.6,2000.0,0.1,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ремувка,,,,,,,
popular,"Кабель, провода",,50,204.7975138888889,6.55,2457.0,181.9634655824809,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Кабель, провода",,,,,,,
popular,Шнурок для телефона,,50,891.6861249999998,19.5,500.0,0.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Шнурок для телефона,,,,,,,
popular,"Ланьярд, ланъярд, лента для бейджа",,50,839.4112430555555,19.5,500.0,0.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ланьярд, ланъярд, лента для бейджа",,,,,,,
popular,Часы,,50,1094.905,28.0,500.0,143.6121323529412,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Часы,,,,,,,
popular,Подушки,,11,282.3280902777778,1.5,500.0,0.07,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Подушки,,,,,,,
popular,Маска для сна,,50,891.6861249999998,19.5,500.0,0.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Маска для сна,,,,,,,
popular,Елочная игрушка/шар,,50,857.2988541666666,11.25,500.0,3.26234471239169,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Елочная игрушка/шар,,,,,,,
popular,Елочная игрушка/шар,,50,857.2988541666666,11.25,500.0,3.26234471239169,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Елочная игрушка/шар,,,,,,,
popular,Елочная игрушка/шар,,50,857.2988541666666,11.25,500.0,3.26234471239169,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Елочная игрушка/шар,,,,,,,
popular,Снежный шар,,50,684.448502415459,12.5,1000.0,1.0,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Снежный шар,,,,,,,
popular,Конструктор - типа лего,,50,332.22,7.95,400.0,68.19421713038734,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Конструктор - типа лего,,,,,,,
popular,Мягкие игрушки,,50,619.9912979166667,18.5,750.0,9.999999999999998,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Мягкие игрушки,,,,,,,
popular,Деревянный пазл,,50,686.7676881944444,17.0,500.0,146.6275659824047,5.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Деревянный пазл,,,,,,,
popular,Игрушки головоломки - типа кубик рубика,,50,221.9465694444444,6.75,500.0,9.999999999999998,6.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Игрушки головоломки - типа кубик рубика,,,,,,,
popular,"Шашки, шахматы, лото, нарды",,50,2097.987118055556,50.0,325.0,190.4761904761905,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Шашки, шахматы, лото, нарды",,,,,,,
popular,Надувной круг,,50,455.3431666666667,15.15,2000.0,23.0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Надувной круг,,,,,,,
popular,Фитнес резинка,,45,107.6154166666667,2.6,2000.0,92.59259259259261,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Фитнес резинка,,,,,,,
popular,Скакалка,,28,763.4206527777778,19.75,2010.0,272.3311547,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Скакалка,,,,,,,
popular,Зонт складной,,50,1993.625,33.0,500.0,1.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Зонт складной,,,,,,,
popular,Зонт трость,,50,1255.714618055556,28.5,250.0,0.685,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Зонт трость,,,,,,,
popular,Коробки,,50,262.6674722222222,6.25,1000.0,12.125,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Коробки,,,,,,,
popular,коробка+ложемент,,50,681.4849999999999,17.0,300.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,коробка+ложемент,,,,,,,
popular,Автовизитки,,6,287.205,8.5,300.0,1.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Автовизитки,,,,,,,
popular,Проектор,,50,1790.54,50.0,500.0,1.5,5.859999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Проектор,,,,,,,
popular,Фотоаппарат мгновенной печати,,50,2109.661689484127,52.5,2000.0,0.4,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Фотоаппарат мгновенной печати,,,,,,,
popular,Ручки,,50,113.6599348958333,2.6,3000.0,18.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ручки,,,,,,,
popular,Тетрис,,30,235.5528027777785,4.025,565.0,300.8574437145865,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Тетрис,,,,,,,
popular,Карандаши,,38,71.80916069330138,1.35,5000.0,0.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Карандаши,,,,,,,
popular,Попсокет,,50,53.205,1.7,10000.0,0.1,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Попсокет,,,,,,,
popular,Обложка для паспорта,,50,891.6861249999998,19.5,500.0,0.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обложка для паспорта,,,,,,,
popular,Обложка для паспорта,,50,891.6861249999998,19.5,500.0,0.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обложка для паспорта,,,,,,,
popular,Чемодан,,50,1671.880642361111,53.75,1000.0,4.7,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Чемодан,,,,,,,
popular,"Статуэтки, награды",,10,5597.275427777778,96.75,300.0,0.8,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Статуэтки, награды",,,,,,,
popular,"Статуэтки, награды",,10,5597.275427777778,96.75,300.0,0.8,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Статуэтки, награды",,,,,,,
popular,"Статуэтки, награды",,10,5597.275427777778,96.75,300.0,0.8,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Статуэтки, награды",,,,,,,
popular,"Держатель 
гаджетов, проводов, автомобильный",,50,545.2858419649843,11.39,350.0,160.7475042116187,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Держатель 
гаджетов, проводов, автомобильный",,,,,,,
popular,Гирлянда,,50,601.8398383928571,12.0,1000.0,2.473288484368817,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Гирлянда,,,,,,,
popular,Шлем,,12,632.4604083333334,11.0,525.0,51.23456790123456,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Шлем,,,,,,,
