Тип,Категория,Родитель,Товаров,Полнота_данных,Популярная_категория,Материал_рекомендуемый,Количество_диапазонов,Есть_диапазоны_БД,Есть_данные_CSV,Есть_ставки_транспорт,Есть_материалы,Есть_сертификаты,Медиана_цены_руб,Медиана_плотности,Медиана_тиража,Ставка_жд_базовая,Ставка_авиа_базовая,Сертификаты_требуемые
popular,"Сумка для ноутбука, чехол",,50,🟠 ТОЛЬКО CSV,"Сумка для ноутбука, чехол",,0,False,True,False,False,False,971.0950138888888,0.5,500.0,,,
popular,"Органайзер, несессер",,50,🟠 ТОЛЬКО CSV,"Органайзер, несессер",,0,False,True,False,False,False,695.9695464120371,44.88888888888889,1000.0,,,
popular,Органайзер - машина,,50,🟠 ТОЛЬКО CSV,Органайзер - машина,,0,False,True,False,False,False,1162.958810300926,1.582063711911357,1000.0,,,
popular,"Косметичка, пенал (без наполнения)",,50,🟠 ТОЛЬКО CSV,"Косметичка, пенал (без наполнения)",,0,False,True,False,False,False,496.2222569444443,0.178,450.0,,,
popular,"Термосумка, сумка для еды, сумка курьера, сумка для ланчбокса, сумка холодильник",,50,🟠 ТОЛЬКО CSV,"Термосумка, сумка для еды, сумка курьера, сумка для ланчбокса, сумка холодильник",,0,False,True,False,False,False,904.3565555555555,0.5,500.0,,,
popular,Чехлы для чемодана,,50,🟠 ТОЛЬКО CSV,Чехлы для чемодана,,0,False,True,False,False,False,891.6861249999998,0.5,500.0,,,
popular,"Стикеры, наклейки",,50,🟠 ТОЛЬКО CSV,"Стикеры, наклейки",,0,False,True,False,False,False,195.7885277777778,273.4808208997886,2700.0,,,
popular,"Стикеры, наклейки",,50,🟠 ТОЛЬКО CSV,"Стикеры, наклейки",,0,False,True,False,False,False,195.7885277777778,273.4808208997886,2700.0,,,
popular,Носки,,50,🟠 ТОЛЬКО CSV,Носки,,0,False,True,False,False,False,202.5645513888895,0.1,2000.0,,,
popular,"Кепка, бейсболка",,50,🟠 ТОЛЬКО CSV,"Кепка, бейсболка",,0,False,True,False,False,False,471.2374328703704,139.2369813,500.0,,,
popular,Ланчбокс,,50,🟠 ТОЛЬКО CSV,Ланчбокс,,0,False,True,False,False,False,745.3209502314814,167.2498404524549,2350.0,,,
popular,"Бутылки, стаканы, одноразовые стаканы, складные",,50,🟠 ТОЛЬКО CSV,"Бутылки, стаканы, одноразовые стаканы, складные",,0,False,True,False,False,False,274.6559754464286,346.3203463203463,3000.0,,,
popular,Бутылки,,50,🟠 ТОЛЬКО CSV,Бутылки,,0,False,True,False,False,False,230.7070150462963,346.3203463203463,3000.0,,,
popular,Посуда (тарелки и кружки),,50,🟠 ТОЛЬКО CSV,Посуда (тарелки и кружки),,0,False,True,False,False,False,1995.04,1.1,1000.0,,,
popular,Посуда,,50,🟠 ТОЛЬКО CSV,Посуда,,0,False,True,False,False,False,470.815,213.3333333333333,4000.0,,,
popular,Посуда,,50,🟠 ТОЛЬКО CSV,Посуда,,0,False,True,False,False,False,470.815,213.3333333333333,4000.0,,,
popular,Колонка,,50,🟠 ТОЛЬКО CSV,Колонка,,0,False,True,False,False,False,1195.560613425926,217.587138656043,500.0,,,
popular,"Наушники (и капельки, и полноразмерные)",,50,🟠 ТОЛЬКО CSV,"Наушники (и капельки, и полноразмерные)",,0,False,True,False,False,False,1995.04,1.1,1000.0,,,
popular,"Пауэрбанк, повербанк, павербанк, пзу, аккумулятор",,50,🟠 ТОЛЬКО CSV,"Пауэрбанк, повербанк, павербанк, пзу, аккумулятор",,0,False,True,False,False,False,1773.83,0.5,1000.0,,,
popular,"Докстанция, док станция, беспроводная зарядка, мультизарядка",,50,🟠 ТОЛЬКО CSV,"Докстанция, док станция, беспроводная зарядка, мультизарядка",,0,False,True,False,False,False,1810.044305555556,103.0526172867793,300.0,,,
popular,Лампы настольные умные (с зарядкой),,50,🟠 ТОЛЬКО CSV,Лампы настольные умные (с зарядкой),,0,False,True,False,False,False,1995.04,1.1,1000.0,,,
popular,Лампа проектор - звездного неба,,50,🟠 ТОЛЬКО CSV,Лампа проектор - звездного неба,,0,False,True,False,False,False,2105.795277777777,160.7475042116187,1000.0,,,
popular,"Лампа ночник, светильник",,50,🟠 ТОЛЬКО CSV,"Лампа ночник, светильник",,0,False,True,False,False,False,1301.499229166667,38.7138350261619,962.5,,,
popular,Ремувка,,50,🟠 ТОЛЬКО CSV,Ремувка,,0,False,True,False,False,False,98.305,0.1,2000.0,,,
popular,"Кабель, провода",,50,🟠 ТОЛЬКО CSV,"Кабель, провода",,0,False,True,False,False,False,204.7975138888889,181.9634655824809,2457.0,,,
popular,Шнурок для телефона,,50,🟠 ТОЛЬКО CSV,Шнурок для телефона,,0,False,True,False,False,False,891.6861249999998,0.5,500.0,,,
popular,"Ланьярд, ланъярд, лента для бейджа",,50,🟠 ТОЛЬКО CSV,"Ланьярд, ланъярд, лента для бейджа",,0,False,True,False,False,False,839.4112430555555,0.5,500.0,,,
popular,Часы,,50,🟠 ТОЛЬКО CSV,Часы,,0,False,True,False,False,False,1094.905,143.6121323529412,500.0,,,
popular,Маска для сна,,50,🟠 ТОЛЬКО CSV,Маска для сна,,0,False,True,False,False,False,891.6861249999998,0.5,500.0,,,
popular,Елочная игрушка/шар,,50,🟠 ТОЛЬКО CSV,Елочная игрушка/шар,,0,False,True,False,False,False,857.2988541666666,3.26234471239169,500.0,,,
popular,Елочная игрушка/шар,,50,🟠 ТОЛЬКО CSV,Елочная игрушка/шар,,0,False,True,False,False,False,857.2988541666666,3.26234471239169,500.0,,,
popular,Елочная игрушка/шар,,50,🟠 ТОЛЬКО CSV,Елочная игрушка/шар,,0,False,True,False,False,False,857.2988541666666,3.26234471239169,500.0,,,
popular,Снежный шар,,50,🟠 ТОЛЬКО CSV,Снежный шар,,0,False,True,False,False,False,684.448502415459,1.0,1000.0,,,
popular,Конструктор - типа лего,,50,🟠 ТОЛЬКО CSV,Конструктор - типа лего,,0,False,True,False,False,False,332.22,68.19421713038734,400.0,,,
popular,Мягкие игрушки,,50,🟠 ТОЛЬКО CSV,Мягкие игрушки,,0,False,True,False,False,False,619.9912979166667,9.999999999999998,750.0,,,
popular,Деревянный пазл,,50,🟠 ТОЛЬКО CSV,Деревянный пазл,,0,False,True,False,False,False,686.7676881944444,146.6275659824047,500.0,,,
popular,Игрушки головоломки - типа кубик рубика,,50,🟠 ТОЛЬКО CSV,Игрушки головоломки - типа кубик рубика,,0,False,True,False,False,False,221.9465694444444,9.999999999999998,500.0,,,
popular,"Шашки, шахматы, лото, нарды",,50,🟠 ТОЛЬКО CSV,"Шашки, шахматы, лото, нарды",,0,False,True,False,False,False,2097.987118055556,190.4761904761905,325.0,,,
popular,Надувной круг,,50,🟠 ТОЛЬКО CSV,Надувной круг,,0,False,True,False,False,False,455.3431666666667,23.0,2000.0,,,
popular,Зонт складной,,50,🟠 ТОЛЬКО CSV,Зонт складной,,0,False,True,False,False,False,1993.625,1.1,500.0,,,
popular,Зонт трость,,50,🟠 ТОЛЬКО CSV,Зонт трость,,0,False,True,False,False,False,1255.714618055556,0.685,250.0,,,
