,"Менеджер: 
Email: 
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ от клиента,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Поясная сумка желтая (золотая) Жар Птица                          ,"Поясная сумка из полиэстера 210D с основным отделением на молнии и регулируемым поясным ремнем 35.50 x 14.00 cm.
Полная запечатка и размещение логотипа
","Материал: полиэстер 210D 
Размер:  35.50 x 14.00 cm.
Упаковка:  инд пакет
Примечание от фабрики: ", Дизайн: Полная запечатка и размещение логотипа,100,"5,30","477,35",40-45,"5,60","504,36",30-35,5 966,3,13-15,
,,,,,,,,,,,,,,,
 ,Поясная сумка ,"Поясная сумка из полиэстера 210D с основным отделением на молнии и регулируемым поясным ремнем 35.50 x 14.00 cm.
Полная запечатка, орнамент + надпись.


","Материал: полиэстер 210D 
Размер:  35.50 x 14.00 cm.
Упаковка:  инд пакет
Примечание от фабрики: ", Дизайн: Полная запечатка и размещение логотипа,100,"6,58","593,20",40-45,"6,88","620,20",30-35,5 966,3,13-15,
,,,,,,,,,,,,,,,
 ,Поясная сумка ,"Поясная сумка из полиэстера 210D с основным отделением на молнии и регулируемым поясным ремнем 35.50 x 14.00 cm.
Полная запечатка, размещение логотипа.



","Материал: полиэстер 210D 
Размер:  35.50 x 14.00 cm.
Упаковка:  инд пакет
Примечание от фабрики: ", Дизайн: Полная запечатка и размещение логотипа,100,"6,58","593,20",40-45,"6,88","620,20",30-35,5 966,3,13-15,
,,,,,,,,,,,,,,,
 ,Кружка Dacha 3 цвета основы на каждый цвет свое изображение,"Размеры: диаметр 6,2 см, ширина с ручкой 8,2 см, высота 5,3 см, материал: фаянс, вес: 125г
Шрифт: Greatly Font Duo;
Принт: 
Вместо двух мостов, аттракцион Самоцветы, вместо St. Petersburg лого Сочи-Парк, по кругу надпись «Закружись в сиянии самоцветов», цифры под логотипом: 2014; 
","Материал: эмалированный фарфор
Размер: 7х7
Упаковка: белая коробка
Примечание от фабрики: кружка белая"," Дизайн: кружка белая,  Вместо двух мостов, аттракцион Самоцветы, вместо St. Petersburg лого Сочи-Парк, по кругу надпись «Закружись в сиянии самоцветов», цифры под логотипом: 2014; 
",150,"6,0","588,7",40-45 ,"6,6","647,9",30-35,10 501,10,20-22,
,,,,,,,,,,,,,,,
 ,"

Кружка Dacha 3 цвета основы на каждый цвет свое изображение
","Размеры: диаметр 6,2 см, ширина с ручкой 8,2 см, высота 5,3 см, материал: фаянс, вес: 125г 
Шрифт: Greatly Font Duo;
Принт:
Вместо двух мостов, аттракцион Колесо времени, вместо St. Petersburg лого Сочи-Парк, над аттракционом надпись «Пойдем на Горыныча», цифры под логотипом 2014,  
","Материал: эмалированный фарфор
Размер: 7х7
Упаковка: белая коробка
Примечание от фабрики: кружка белая"," Дизайн:  кружка белая, Вместо двух мостов, аттракцион Колесо времени, вместо St. Petersburg лого Сочи-Парк, над аттракционом надпись «Пойдем на Горыныча», цифры под логотипом 2014,  ",150,"6,0","588,7",40-45 ,"6,6","647,9",30-35,10 501,10,20-22,
,,,,,,,,,,,,,,,
 ,Кружка эмалированная 3 цвета основы на каждый цвет свое изображение,"Размер: диаметр 9 см, высота 10 см; материал: металл; 
Полная запечатка; обыграть Жар-Птицу в стиле Дымковской игрушки;
Упаковка: Дымковский орнамент, полная запечатка","Материал:  фаянс
Размер:  высота 9, диаметр 9,6
Упаковка:  белая коробка 
Примечание от фабрики:  выкрас кружки от 1000шт,  "," Дизайн:  белая кружка, принт жар-птица , принт на белой коробке ",150,"9,8","969,9",40-45 ,"11,4","1110,2",30-35,10 501,7-10,18-20,
,,,,,,,,,,,,,,,
