,,,Дизайн: нанесение лого,1000,"4,8","508,2",80-85,"5,9","637,4",65-70,,,,
 ,Проектор звездного неба 2,"Материал: РС 
Размер: 13 х 13 х 14.5 см
Упаковка: индивидуальная цветная коробка
Примечание от фабрики: в сроки доставки включен китайский новый год
Характеристики:
Работает от батереек 4 шт. ААА (не входят в комплект); USB
2 режима: ночник и проектор",Дизайн: нанесение лого,50,"18,3","1917,8",80-85,20,"2105,1",65-70,"13,500",3,13-15,
,,,,,,,,,,,,,,
 ,Проектор звездного неба 3,"Материал: ABS
Размер: 14 х 12.5 см
Упаковка: индивидуальная цветная коробка
Примечание от фабрики: в сроки доставки включен китайский новый год
Характеристики:
Работает от батереек 4 шт. ААА (не входят в комплект); USB
2 режима: ночник и лампа",Дизайн: сток,50,"12,4","1303,3",75-80,"13,8","1453,1",60-65,"13,200",4,14-16,
,,,Дизайн: нанесение лого,500,11.6,"1213,3",80-85,"12,9","1363,1",65-70,,,,
 ,Проектор звездного неба 4,"Материал: ABS + PP пластик
Размер: 8 х 10 х 13 см
Упаковка: индивидуальная цветная коробка
Примечание от фабрики: в сроки доставки включен китайский новый год
Характеристики:
12 режимов туманностей, 7 цветов сияния
Вращение шлема на 360 
Напряжение: 220 Вт
Питание: USB 
",Дизайн: сток,50,"15,2","1591,9",55-60,"16,3","1720,3",45-50,18700,5,15-17,
,,,Дизайн: нанесение лого,1000,"12,7","1336,7",65-70,"13,9","1472,6",55-60,,,,
 ,Проектор звездного неба 5,"Материал: пастик, ПВХ
Размер: 18 х 22 см
Упаковка: цветная коробка
Примечание от фабрики: в сроки доставки включен китайский новый год
Характеристики:
5 режимов работы, 4 режима свечения
Вращение шлема на 360
Напряжение: 220 Вт
Питание: USB 
",Дизайн: сток,50,"9,8","1031,5",55-60,11,"1165,2",45-50,"19,500",7,17-19,
,,,Дизайн: нанесение лого,500,"9,2","971,2",75-80,"10,4","1104,9",60-65,,,,
 ,Проектор звездного неба 6,"Материал: ABS + PP пластик
Размер: 22 х 11 х 10.5 см
Упаковка: индивидуальная цветная коробка
Примечание от фабрики: в сроки доставки включен китайский новый год
Характеристики:
14 режимов туманностей, 8 цветов сияния
Вращение шлема на 90 
Напряжение: 220 Вт
Питание: USB 
",Дизайн: сток,50,"16,1","1699,7",55-60,"17,7","1886,3",45-50,9300,5,15-17,
,,,Дизайн: нанесение лого,500,"15,2","1609,7",65-70,"16,9","1796,3",55-60,15800,,,
 ,Проектор звездного неба 7,"Материал: ABS + PС пластик
Размер: 22.5 х 13 х 11.5 см
Упаковка: индивидуальная цветная коробка
Примечание от фабрики: в сроки доставки включен китайский новый год
Характеристики:
8 цветовых проекций
Вращение шлема на 360 
Напряжение: 240 Вт
Питание: USB 
", Дизайн: нанесение лого,240,"22,9",2426.0,60-65,"25,3","2698,9",50-55,"11,900",5,15-17,
,,,,,,,,,,,,,,
 ,Проектор звездного неба 8,"Материал: ABS + PP пластик
Размер: 17 х 16 х 7 см
Упаковка: индивидуальная цветная коробка
Примечание от фабрики: в сроки доставки включен китайский новый год
Характеристики:
Управление яркостью и цветами по приложению
Множество различных эффектов звездного неба и туманностей",Дизайн: сток,50,"36,4","3901,6",40-45,"39,3",4229,25-30,"21,500",5,15-17,
,,,Дизайн: нанесение лого,500,"36,5","3919,6",80-85,"39,4",4247,65-70,,,,
 ,Проектор звездного неба 9,"Материал: ABS + PP пластик
Размер: 16 х 16 х 11.5 см
Цвет: черный, белый
Упаковка: индивидуальная цветная коробка
Примечание от фабрики: в сроки доставки включен китайский новый год
Характеристики:
Мощность светодиод. ламп: 2х4 Вт

",Дизайн: сток,50,"22,5","2343,4",80-85,"24,2","2544,1",65-70,"21,800",7,17-19,
,,,Дизайн: нанесение лого,1000,"21,9","2281,4",,"23,6","2482,1",,,,,
 ,Зонт складной,"Материал: винил, нержавеющая сталь, стекловолокно
Размер: диаметр 105 см, длина в сложенном виде 33 см, в разложенном виде 65 см
Стоковые цвета: серый, голубой, синий, молочный, бордовый", Дизайн: сток,50,"10,8","1108,6",27-32,"12,5","1290,7",17-22,"4,210",3,13-15,
,,," Дизайн: печать на клине, 2+0",100,"11,2","1151,2",35-40,"12,9","1333,2",25-30,10 700,5,15-17,
,,," Дизайн: печать на ручке, 2+0",100,"11,5","1180,8",,"13,2","1362,9",,10 700,5,15-17,
,,, Дизайн: полноцветная запечатка,100,"12,6","1299,7",40-45,"14,4","1481,8",30-35,13 130,7,17-19,
