image_id,product_id,sheet_id,position,image_type,row_number,product_name
18447,6340,1arAJrpltSndihippUGVIQPpLZ2BVQB_K6_T-MA_Akd8,A8,1,8,Дизайн: по макету
18448,6341,1arAJrpltSndihippUGVIQPpLZ2BVQB_K6_T-MA_Akd8,A9,1,9,Дизайн: по макету
18352,6306,1aR_FDltf8yPFe-Wjg4ZyrCSaa-FnwOb7_rAHYxbNvLc,A13,1,13,Сабо
5887,2084,1auM_vwNCDYo-7TyiVAPRKnfPMKQ5QJlZcNyrmj9q9HI,A18,1,18,Картхолдер с лентой
21110,7320,1aUOL4DPp5Z3wb9_XMuiTYl2uNC-6KlYGDZxx7CcU6Ic,A14,1,14,Дизайн: из наличия
21121,7317,1aUOL4DPp5Z3wb9_XMuiTYl2uNC-6KlYGDZxx7CcU6Ic,A6,1,6,Дизайн: из наличия
21281,7374,1AW18OOBOCOBehqoKFmozqTqareallgTaLWCMcA1i6Po,A31,1,31,Игрушка-антистресс
16297,5641,1Ay0aV7nvq_cN1Ot-BkVIV63V_ptX4EP0sKo0sm6-ESM,A7,1,7,"Бутылка прозрачная, пластик, с ремешком"
33267,11744,1BdnqhSDcZBuJzGvSsn-nOoWLnMNym7i,A7,,,
33268,11744,1BdnqhSDcZBuJzGvSsn-nOoWLnMNym7i,R7,,,
33269,11744,1BdnqhSDcZBuJzGvSsn-nOoWLnMNym7i,R7,,,
33270,11744,1BdnqhSDcZBuJzGvSsn-nOoWLnMNym7i,R7,,,
4981,,1BqMa70TxvWezJ4WwjhvgAKj39TTEdlmcENo0u7RI0Og,O10,0,,
5373,,1bU-uquzLaUBvjC-cTNagm0TROOp353_I58VDwsM-nAY,A1,1,,
7375,2625,1byg--2cov81F8V0G7k90iNKg9VTRgrfTUyKFCdfH4-U,A4,1,4,Складной стул
4769,,1C5uLFhkBQlONkPqW8Iik95iGLow1OGWg94OojRM_TK8,A1,1,,
4707,1657,1C5uLFhkBQlONkPqW8Iik95iGLow1OGWg94OojRM_TK8,A10,1,10,Расческа для животных
4709,1658,1C5uLFhkBQlONkPqW8Iik95iGLow1OGWg94OojRM_TK8,A11,1,11,Поводок
4710,1659,1C5uLFhkBQlONkPqW8Iik95iGLow1OGWg94OojRM_TK8,A12,1,12,Ошейник
4711,1660,1C5uLFhkBQlONkPqW8Iik95iGLow1OGWg94OojRM_TK8,A13,1,13,Ремень
4712,1661,1C5uLFhkBQlONkPqW8Iik95iGLow1OGWg94OojRM_TK8,A14,1,14,Сумка малая
4713,1662,1C5uLFhkBQlONkPqW8Iik95iGLow1OGWg94OojRM_TK8,A15,1,15,Сумка большая
4714,1663,1C5uLFhkBQlONkPqW8Iik95iGLow1OGWg94OojRM_TK8,A16,1,16,Шлейка
4721,1664,1C5uLFhkBQlONkPqW8Iik95iGLow1OGWg94OojRM_TK8,A17,1,17,Чехол для мешков
4715,1665,1C5uLFhkBQlONkPqW8Iik95iGLow1OGWg94OojRM_TK8,A18,1,18,"Игрушка ""Морковь"""
4716,1666,1C5uLFhkBQlONkPqW8Iik95iGLow1OGWg94OojRM_TK8,A19,1,19,"Игрушка ""Ботинок"""
