product_id,project_id,project_name,product_name,row_number,duplicate_number,group_size,action
394,385,[Просчет] Елизавета Шелопаева / Расчет (Универсальная позиция)_чехлы для планшета_1946_СБЕР_ОТВЕТ_MegaMind 01-07-2025,Дизайн: шелкография,14,1,3,KEEP
395,385,[Просчет] Елизавета Шелопаева / Расчет (Универсальная позиция)_чехлы для планшета_1946_СБЕР_ОТВЕТ_MegaMind 01-07-2025,Дизайн: шелкография,15,2,3,DELETE
396,385,[Просчет] Елизавета Шелопаева / Расчет (Универсальная позиция)_чехлы для планшета_1946_СБЕР_ОТВЕТ_MegaMind 01-07-2025,Дизайн: шелкография,16,3,3,DELETE
508,436,[Просчет-РФ] Александра / Игрушки 17-06-2025,Игрушка,4,1,2,KEEP
509,436,[Просчет-РФ] Александра / Игрушки 17-06-2025,Игрушка,9,2,2,DELETE
608,473,[Просчет-РФ] Маргарита / Зонты - 1000 шт 28-05-2025,Зонт складной,4,1,2,KEEP
610,473,[Просчет-РФ] Маргарита / Зонты - 1000 шт 28-05-2025,Зонт складной,8,2,2,DELETE
618,475,[Просчет-РФ] Маргарита / Цифровой инфракрасный термометр - 5000 шт 12-05-2025,Дизайн: лого в 1 цвет,4,1,2,KEEP
619,475,[Просчет-РФ] Маргарита / Цифровой инфракрасный термометр - 5000 шт 12-05-2025,Дизайн: лого в 1 цвет,5,2,2,DELETE
620,475,[Просчет-РФ] Маргарита / Цифровой инфракрасный термометр - 5000 шт 12-05-2025,Дизайн: лого в 1 цвет,6,1,2,KEEP
621,475,[Просчет-РФ] Маргарита / Цифровой инфракрасный термометр - 5000 шт 12-05-2025,Дизайн: лого в 1 цвет,7,2,2,DELETE
622,475,[Просчет-РФ] Маргарита / Цифровой инфракрасный термометр - 5000 шт 12-05-2025,Дизайн: лого в 1 цвет,8,1,2,KEEP
623,475,[Просчет-РФ] Маргарита / Цифровой инфракрасный термометр - 5000 шт 12-05-2025,Дизайн: лого в 1 цвет,9,2,2,DELETE
660,491,[Просчет-РФ] Награды,Дизайн: из наличия,5,1,8,KEEP
