sheet_id,position,suffix,duplicate_count,total_size_mb,sizes_mb,same_size
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,P13,,8,4.15,0.52 | 0.52 | 0.52 | 0.52 | 0.52 | 0.52 | 0.52 | 0.52,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,P53,,8,4.15,0.52 | 0.52 | 0.52 | 0.52 | 0.52 | 0.52 | 0.52 | 0.52,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,P32,,8,4.14,0.52 | 0.52 | 0.52 | 0.52 | 0.52 | 0.52 | 0.52 | 0.52,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,P74,,8,4.14,0.52 | 0.52 | 0.52 | 0.52 | 0.52 | 0.52 | 0.52 | 0.52,ДА
1h8-Bj9psOYF2gY3bxqfq1nbHxYwRntvJ2cmBDu_V0mw,O5,,8,2.25,0.47 | 0.41 | 0.38 | 0.36 | 0.26 | 0.13 | 0.12 | 0.11,НЕТ
18HFqzZyiPUT_bzm967ZZ7GcMnFLks5VRWKkhTiEdlCE,N4,,8,2.25,0.44 | 0.41 | 0.32 | 0.26 | 0.24 | 0.23 | 0.19 | 0.17,НЕТ
1Pw94g4V1j0aHB4H0Isw6djFLG1doesS9mMK0vDB5h_4,O4,,8,2.52,0.43 | 0.41 | 0.39 | 0.38 | 0.34 | 0.26 | 0.17 | 0.14,НЕТ
1DMoD5K6-aqjj3BSEynzuNxnkmjG--4yrIPDOn3-mnAo,O6,,8,2.51,0.41 | 0.41 | 0.37 | 0.35 | 0.32 | 0.31 | 0.25 | 0.09,НЕТ
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A33,,8,3.24,0.41 | 0.41 | 0.41 | 0.41 | 0.41 | 0.41 | 0.41 | 0.41,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A75,,8,3.24,0.41 | 0.41 | 0.41 | 0.41 | 0.41 | 0.41 | 0.41 | 0.41,ДА
1Stao2vvS4zt4yt1HexqvqA8VybatwiH33eDjHxGwQUM,N16,,8,1.60,0.38 | 0.29 | 0.26 | 0.19 | 0.17 | 0.15 | 0.10 | 0.07,НЕТ
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A54,,8,2.72,0.34 | 0.34 | 0.34 | 0.34 | 0.34 | 0.34 | 0.34 | 0.34,ДА
1BqMa70TxvWezJ4WwjhvgAKj39TTEdlmcENo0u7RI0Og,O9,,8,1.00,0.22 | 0.14 | 0.13 | 0.12 | 0.11 | 0.10 | 0.10 | 0.07,НЕТ
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,P25,,8,0.47,0.06 | 0.06 | 0.06 | 0.06 | 0.06 | 0.06 | 0.06 | 0.06,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,P67,,8,0.47,0.06 | 0.06 | 0.06 | 0.06 | 0.06 | 0.06 | 0.06 | 0.06,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,P46,,8,0.39,0.05 | 0.05 | 0.05 | 0.05 | 0.05 | 0.05 | 0.05 | 0.05,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,P46,2,8,0.37,0.05 | 0.05 | 0.05 | 0.05 | 0.05 | 0.05 | 0.05 | 0.05,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A40,,8,0.06,0.01 | 0.01 | 0.01 | 0.01 | 0.01 | 0.01 | 0.01 | 0.01,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A82,,8,0.06,0.01 | 0.01 | 0.01 | 0.01 | 0.01 | 0.01 | 0.01 | 0.01,ДА
1xdARVV5efRQqWutTSfUMXpk2iFnmyJstp2svqHM0nJs,O12,,7,11.64,2.99 | 2.49 | 2.02 | 1.07 | 1.07 | 1.05 | 0.95,НЕТ
1_7sNZuYv0RxhwptgNFSNDdPE-9LycH7WxFfd3aNfhfc,N7,,7,8.25,2.79 | 1.35 | 1.06 | 1.04 | 0.98 | 0.96 | 0.07,НЕТ
1mdJ6g3sjcyh8-bZ-V-ZbqrDyzjWWZMK6Fnfc4QoAMr8,O4,,7,6.59,1.96 | 1.45 | 0.67 | 0.66 | 0.64 | 0.63 | 0.58,НЕТ
18r0fn706WU_Dg8Eqx2HQVPJ5pRoz3oFkBAllNcBje9s,N4,,7,4.23,1.95 | 0.60 | 0.58 | 0.51 | 0.28 | 0.20 | 0.11,НЕТ
1eYVO8Ik-GEwFH0qVpENgYqohzOG87scEP4Xe-U1qhZU,M43,6,7,12.25,1.75 | 1.75 | 1.75 | 1.75 | 1.75 | 1.75 | 1.75,ДА
1IeFc1v05CMRamoWOZHz9tTYk8R9ogmUR_4oxTF3EJMY,O8,,7,2.57,1.73 | 0.23 | 0.22 | 0.18 | 0.11 | 0.07 | 0.03,НЕТ
1eYVO8Ik-GEwFH0qVpENgYqohzOG87scEP4Xe-U1qhZU,M43,7,7,12.04,1.72 | 1.72 | 1.72 | 1.72 | 1.72 | 1.72 | 1.72,ДА
1hchGBuhFkndo_3eoqD5lrMZwVroJchJVaMayNM0lauw,O10,,7,2.66,1.56 | 0.64 | 0.23 | 0.08 | 0.07 | 0.04 | 0.03,НЕТ
19869LHpPlB5ZtCdnRZoCOSoN03ZZwVkg4eIh4ZDdkGE,N94,,7,5.15,1.34 | 1.00 | 0.66 | 0.64 | 0.63 | 0.50 | 0.38,НЕТ
1RKdLWvVqbUKlXkCe-3rMUolw3CvHSkImUrhSMsQqT1s,U4,,7,1.88,1.29 | 0.19 | 0.13 | 0.10 | 0.07 | 0.07 | 0.04,НЕТ
1_NcsSKbStq-42tpNBrD7AYR0fipSz2Ex58_kiQWaA24,O47,,7,3.03,1.01 | 0.57 | 0.46 | 0.35 | 0.26 | 0.25 | 0.12,НЕТ
1FA0RW8aYX3ZWOpH41gy4jW7bUiJqcqaioln1NY8KGXU,N18,,7,5.66,1.00 | 0.90 | 0.85 | 0.84 | 0.81 | 0.74 | 0.53,НЕТ
1eYVO8Ik-GEwFH0qVpENgYqohzOG87scEP4Xe-U1qhZU,M43,3,7,6.37,0.91 | 0.91 | 0.91 | 0.91 | 0.91 | 0.91 | 0.91,ДА
11Zs0Urnzve7URBBwgWsonjjgOWc414YP_Onkxo0AMRo,N7,,7,4.24,0.88 | 0.73 | 0.54 | 0.53 | 0.52 | 0.52 | 0.51,НЕТ
13uCOx5LjoxHrRUjMpe3vppyZOm5Dy6V6wSC8XhJCg9E,O4,,7,2.55,0.86 | 0.48 | 0.41 | 0.39 | 0.17 | 0.14 | 0.09,НЕТ
1A0U2MMzCGqb5oeaG0dlNCdeFNsXSKLaYCKGJUPEORVg,O4,,7,2.41,0.82 | 0.53 | 0.41 | 0.25 | 0.20 | 0.14 | 0.07,НЕТ
1eYVO8Ik-GEwFH0qVpENgYqohzOG87scEP4Xe-U1qhZU,M43,2,7,5.72,0.82 | 0.82 | 0.82 | 0.82 | 0.82 | 0.82 | 0.82,ДА
1eYVO8Ik-GEwFH0qVpENgYqohzOG87scEP4Xe-U1qhZU,M43,5,7,5.56,0.79 | 0.79 | 0.79 | 0.79 | 0.79 | 0.79 | 0.79,ДА
1FA0RW8aYX3ZWOpH41gy4jW7bUiJqcqaioln1NY8KGXU,N16,,7,3.19,0.78 | 0.71 | 0.44 | 0.42 | 0.35 | 0.26 | 0.23,НЕТ
1Ph7CadoRdonjZ8Qo1olYboHm7H7lH5PAj6kNqN6ifc0,O4,,7,2.15,0.78 | 0.62 | 0.27 | 0.17 | 0.13 | 0.13 | 0.05,НЕТ
1h49GO4E3tueXJ7Z93Rut0gJqbu25TvRFiG4d-,L4,,7,4.04,0.77 | 0.66 | 0.59 | 0.57 | 0.57 | 0.49 | 0.40,НЕТ
1JK34ukqTBKXKv7wDoQ5gJntasI-G5dOKyw9X0yFhV_s,O5,,7,2.21,0.76 | 0.60 | 0.40 | 0.25 | 0.08 | 0.07 | 0.05,НЕТ
1RXhEFAUpO4d_dmGobh0mZHB29ER1UhXsAzfviaacB9w,O4,,7,3.65,0.75 | 0.64 | 0.60 | 0.47 | 0.41 | 0.40 | 0.38,НЕТ
17PGGgh_Z7067yAV9Gcssd0b8NC-mUVH4pAFVtNy6e6I,O27,,7,3.97,0.73 | 0.72 | 0.63 | 0.61 | 0.52 | 0.45 | 0.32,НЕТ
1A0U2MMzCGqb5oeaG0dlNCdeFNsXSKLaYCKGJUPEORVg,O5,,7,2.92,0.72 | 0.63 | 0.45 | 0.42 | 0.34 | 0.19 | 0.16,НЕТ
1eYVO8Ik-GEwFH0qVpENgYqohzOG87scEP4Xe-U1qhZU,M43,4,7,4.82,0.69 | 0.69 | 0.69 | 0.69 | 0.69 | 0.69 | 0.69,ДА
1mdJ6g3sjcyh8-bZ-V-ZbqrDyzjWWZMK6Fnfc4QoAMr8,O8,,7,4.28,0.68 | 0.66 | 0.65 | 0.60 | 0.59 | 0.59 | 0.50,НЕТ
19Ew0bDbIxnYViQbk09upErW9mlXuxHoViU2GGxyV1ek,N4,,7,2.22,0.68 | 0.47 | 0.33 | 0.21 | 0.21 | 0.16 | 0.15,НЕТ
1lLNdg3dP_sT3kfBkquHeUPoxUHzAcmKf-ACZCKqn-aw,O29,,7,2.54,0.68 | 0.62 | 0.54 | 0.45 | 0.16 | 0.06 | 0.03,НЕТ
1UEfmDbN6ADBm1A-AaLvJ3hnVOLCcHdiXcWenB91LAF4,O4,,7,2.24,0.67 | 0.47 | 0.41 | 0.30 | 0.17 | 0.17 | 0.06,НЕТ
