Все кандидаты на Шаблон 6 (заголовки в строке 2)
Всего файлов: 647

  772 |  26 cols | 1000 rows | project_772_1zgE7D3fu5RQjOBOwkQL1iod5U-iIzPqhIC7N5z5JdoM.xlsx
  783 |  34 cols | 1003 rows | project_783_1B7RF52Q8OLMbhD0b6qt5p7Y19cDVHYzZYQhHXk0mox0.xlsx
  785 |  31 cols | 1005 rows | project_785_1ABMw-DM8hRH9ojo91ZCxh0gxdA0KIywHePPjYE6MlpY.xlsx
  794 |  26 cols | 1000 rows | project_794_13v9dzvEX5soFKkskMu7difbD5PuSFnAEuMDRAY2xDC0.xlsx
  798 |  28 cols |  982 rows | project_798_1dA1aVcRIrqUF8VX-rq0Prbo7HC8d73e-bo6n8UJESFU.xlsx
  820 |  36 cols | 1003 rows | project_820_1jajsxzBmF69WwGbioz2mPz1vE-029aDF1dxVY0XD-6U.xlsx
  829 |  33 cols | 1001 rows | project_829_1t800Mu7RntFKw4_j0rT_dAte6KsuPlHDbMUGzuCzjSA.xlsx
  846 |  33 cols |  986 rows | project_846_1xoMXZh9wMdCXT8LRe3NBc637QpFTVsSpnfUgRZdfea0.xlsx
  856 |  33 cols | 1002 rows | project_856_1EV6gE6x5Oozivh174IUK3ugDNYpSmzYWd6LPjw1y7xE.xlsx
  860 |  23 cols | 1003 rows | project_860_1ulzN6gAGb19uoDL9o1h5L4O2aX6MEA-A5BDkky-A7Tk.xlsx
  868 |  31 cols | 1002 rows | project_868_1FLH1lWURH2JIhP5N_501Ff0Eo5xYrXbH09nihbo3ZxE.xlsx
  883 |  34 cols |  960 rows | project_883_1x3QzRMZK5O-x72qPBFrIuMs8yjePbhmf_g9NNkd2MgM.xlsx
  899 |  34 cols |  989 rows | project_899_1VzQEBQqArdcvdLPM--TpDm0dXWUmI8zBL8VlccKJI7E.xlsx
  907 |  44 cols |  984 rows | project_907_1vIofUZn8zLAdPSUeg8o8eOezrRDFuEmIVEUc3cl0GwU.xlsx
  911 |  37 cols | 1011 rows | project_911_1F_mAZfQ-B953a_XZDWmpTL4ZRxQYrE8kOQN1poheG-w.xlsx
  916 |  26 cols | 1000 rows | project_916_1bSk068ztfuo3QCBCHxBrBTmGz95IFeL5fBxaXmQhFm4.xlsx
  932 |  26 cols | 1000 rows | project_932_14uFhamig_DbmKIkBneQWY0YBzE5yUN48L0fR3IKa-Ek.xlsx
  952 |  33 cols | 1010 rows | project_952_1PNRF9nTGusUL4Zm2Htok4r0k4jRPzjaARc6O92cWRys.xlsx
  967 |  30 cols | 1003 rows | project_967_1-crFOB4ZEtCzPVtXHI-2qC0LxBO3aO95s9cqRmpzCA8.xlsx
  981 |  28 cols |  998 rows | project_981_1ieUtL2K39FeKiNi_Gp6juq017EirEimqSYdtKYWasCE.xlsx
  990 |  29 cols | 1002 rows | project_990_1zbhWaJefwlex13eN9vV3sCzaZHMTdcumkMBuSx6oJdY.xlsx
 1018 |  30 cols | 1013 rows | project_1018_1iYs1MZW2PyGKVKyQeABRPM6gpxcvDFftar4gGW1bxak.xlsx
 1059 |  28 cols | 1002 rows | project_1059_1B2hxhsutxtO27AMpo05DYV0D6qCCsgoBQXwleG3GU04.xlsx
 1063 |  36 cols | 1003 rows | project_1063_1_rR9Tb7JyZQqjzXXXylwOdc5RN_rK4mLHFdgyra5SpM.xlsx
 1090 |  34 cols | 1001 rows | project_1090_1Fi7wFqsnV04uL6dCc2HHBYVcpqvd1KalUuMiAXRiGAA.xlsx
 1114 |  24 cols | 1002 rows | project_1114_14ABuIvacZMXXFQodXH7gbhSVSoS4WNQ1Ll8GI4mu02k.xlsx
 1119 |  29 cols | 1001 rows | project_1119_1yGpCZ_dBQMutKhbv8XPzwjO7o1LyRjw3D0X1tTndlLY.xlsx
 1123 |  33 cols | 1002 rows | project_1123_1IrJrG3WLBQ1647mwcLzWyuReVLSdXxA5UcbbWmGOrhQ.xlsx
 1130 |  34 cols | 1001 rows | project_1130_1nwg30fL-QB3i1J7RbNVt4ZdCpjgD5B5RaRK_Rwls28c.xlsx
 1131 |  32 cols | 1001 rows | project_1131_1vdlA61Tx69RfGxWjxF2P3GSOKOsx6Zn_18Z3n6o4mBw.xlsx
