 ,Материал,Ставка ЖД,Ставка АВИА,Код ТНВЭД,Родитель,Медиана цены (₽),Медиана цены (¥),Средний тираж,Плотность (кг/м³),Транспорт ($/кг),Диапазон цен (₽),Диапазон цен (¥),Диапазон плотности,Диапазон тиражей,Диапазон транспорта
"Держатель 
гаджетов, проводов, автомобильный","Пластик, металл, пвх, акрил, силикон","4,4","6,5",3926909709,,,,,,,,,150,,
Шлем,Пластик,"5,7","7,8",6506101000,,,,,,,,,80,,
"контейнер, ланчбокс",,"4,3","6,4",3924100000,,629,10.7,4500,180.8,$6.4,256 - 2364 ₽,4.6 - 35.7 ¥,87.0 - 262.9,645 - 19650,$4.6 - $9.2
ваза (керамика),,4,"6,1",6913909800,,1558,31.7,375,187.5,$6.0,925 - 2433 ₽,14.9 - 64.5 ¥,84.1 - 266.0,160 - 1001,$5.0 - $7.0
папка (Пластик),,4,"6,1",3926100000,,519,9.0,2700,213.2,$6.0,57 - 2729 ₽,1.1 - 77.6 ¥,166.7 - 291.0,535 - 15000,$4.7 - $8.2
карабин,,"4,1","6,2",7326909807,,78,2.2,2500,480.3,$6.7,42 - 631 ₽,0.6 - 13.3 ¥,290.7 - 726.1,762 - 11300,$5.7 - $8.9
головоломка,Пластик,"4,3","6,4",,,445,8.0,975,352.1,$6.8,162 - 1595 ₽,3.3 - 46.7 ¥,203.0 - 472.1,450 - 41250,$5.3 - $10.0
зеркало,кожзам,"5,4","7,5",7009920000,,160,3.7,4000,380.1,$7.0,117 - 750 ₽,2.0 - 22.0 ¥,116.7 - 506.5,750 - 25500,$5.5 - $7.5
чайник,"керамика, фарфор",4,"6,1",,,2628,61.2,352,231.6,$5.7,856 - 5178 ₽,17.4 - 114.8 ¥,175.7 - 364.4,158 - 1500,$4.5 - $14.7
чайная_пара,"керамика, фарфор",4,"6,1",6911100000,,1162,34.5,945,248.1,$5.3,1031 - 1277 ₽,23.1 - 42.0 ¥,Недостаточно данных,750 - 4417,$4.5 - $6.1
