 ,Материал,Ставка ЖД,Ставка АВИА,Код ТНВЭД,Родитель,Медиана цены (₽),Медиана цены (¥),Средний тираж,Плотность (кг/м³),Транспорт ($/кг),Диапазон цен (₽),Диапазон цен (¥),Диапазон плотности,Диапазон тиражей,Диапазон транспорта
фонарь,"металл, пластик","4,2","6,4",8513100000,,593,16.8,1188,284.9,$5.8,100 - 1200 ₽,3.5 - 35 ¥,240.8 - 380.8,298 - 3883,$4.2 - $7.8
гирлянда,пластик,"5,7","7,8",9405310000,,553,11.1,2850,200.0,$6.8,80 - 1100 ₽,2 - 15 ¥,200 - 400.2,425 - 22500,$5.6 - $13.2
свеча,воск,"3,8","5,9",3406000000,,696,13.4,750,451.8,$5.9,70 - 900 ₽,2 - 15 ¥,216.7 - 625.0,295 - 18000,$3.8 - $8.0
магнит,металл,"4,4","6,5",8505110000,,224,4.2,2500,444.4,$6.4,10 - 250 ₽,0.3 - 8 ¥,200 - 500,480 - 16409,$4.9 - $9.0
"толстовка, худи","хлопок, полиэстер, акрил","9,3","11,4",6110209900,,2574,81.0,900,426.1,$10.5,1668 - 3135 ₽,32.2 - 103.8 ¥,200 - 400,465 - 1500,$9.2 - $11.5
конструктор,пластик,"4,6","6,7",9503003500,,810,17.7,2250,142.3,$7.3,250 - 1700 ₽,5 - 32 ¥,61.4 - 223.7,450 - 7548,$5.7 - $10.1
таблетница,пластик,"4,4","6,5",3926909709,,229,6.0,1500,248.1,$5.0,86 - 478 ₽,2.3 - 13.1 ¥,182.4 - 359.4,718 - 5025,$4.1 - $6.5
стикеры,бумага,"3,9",6,4911990000,,100,3.0,5500,289.4,$5.9,35 - 355 ₽,1.1 - 8.5 ¥,131.6 - 400,1500 - 24425,$5.0 - $14.4
стикеры,Виниловая пленка,"4,2","6,3",3919900000,,100,3.0,5500,289.4,$5.9,35 - 355 ₽,1.1 - 8.5 ¥,131.6 - 400,1500 - 24425,$5.0 - $14.4
мышь,пластик,"6,2","8,3",8471607000,,1430,44.0,1250,236.0,$7.0,300 - 1700 ₽,8 - 55 ¥,130.7 - 325.1,412 - 2425,$5.2 - $10.0
носки,"хлопок, акрил, полиэстер",5,"7,1",6115950000,,261,6.5,2250,143.0,$7.7,130 - 600 ₽,2.9 - 13 ¥,110 - 150,795 - 6750,$5.2 - $14.8
снежный_шар,"Смола,стекло,пластик ","4,4","6,5",9505101000,,680,15.2,675,360.2,$5.0,372 - 1295 ₽,10.7 - 30.3 ¥,205.7 - 455.5,578 - 750,$4.7 - $5.2
ремувка,"нейлон, металл, полиэстер","9,1","11,2",7117900000,,93,2.2,5000,333.3,$10.3,46 - 141 ₽,1.3 - 3.3 ¥,230.1 - 500,2375 - 7650,$9.0 - $11.2
скакалка,Пластик,"3,7","5,8",9506919000,,1145,28.0,3015,350.3,$5.8,70 - 320 ₽,1.5 - 5 ¥,236.8 - 356.7,1338 - 3015,$4.4 - $5.8
"Пакет, пакет фольгированный","пластик, полиетилен","4,5","6,7",3923210000,,,,,,,,,300,,
Поясная сумка,"Полиэстер, нейлон, хлопок, Оксфорд, плюш","6,1","8,2",4202929800,,,,,,,,,120,,
"мешок, гермомешок","Полиэстер, нейлон, хлопок, Оксфорд, пвх","6,1","8,2",4202929100,,,,,,,,,160,,
"Термосумка, сумка для еды, сумка курьера, сумка для ланчбокса, сумка холодильник","полиэстер,алюминиевая фольга, спанбонд","6,1","8,2",4202929800,,,,,,,,,170,,
Авоськи,акрил,"4,4","6,5",5608900000,,,,,,,,,200,,
Чехлы для чемодана,"Полиэстер, нейлон, акрил","5,5","7,6",6307909800,,,,,,,,,225,,
Шапки,"хлопок, полиэстер, акрил",5,"7,1",6505009000,,,,,,,,,100,,
Тряпки,"акрил, полиэстер, нейлон, оксфорд","5,3","7,4",6307109000,,,,,,,,,150,,
Полотенца,"хлопок, микрофибра, бамбук","7,2","9,3",6302939000,,,,,,,,,250,,
Ланчбокс,пластик,"4,3","6,4",3924100000,,,,,,,,,170,,
Посуда (тарелки и кружки),металл,"4,6","6,7",7323930000,,,,,,,,,140,,
Блендеры,"пластик, стекло ",5,"6,1",8509400000,,,,,,,,,170,,
Грелки,"пластик, металл","4,9",6,8516797000,,,,,,,,,250,,
Лампа проектор - звездного неба,пластик,"5,1","7,2",9405210013,,,,,,,,,160,,
Значки ,"сталь,смола, латунь","9,1","11,2",7117900000,,,,,,,,,300,,
Шнурок для телефона,"полиэстер, нейлон","5,6","7,8",6307909800,,,,,,,,,300,,
"Ланьярд, ланъярд, лента для бейджа","нейлон, полиэстер, хлопок, силикон, кожзам
фурнитура - металл, пластик","5,6","7,6",6307909800,,,,,,,,,230,,
Маска для сна,"полиэстер, акрил, хлопок, искуственный шелк, настоящий шелк, тенсел","5,5","7,6",6307909800,,,,,,,,,90,,
Елочная игрушка/шар ,"фарфор, керамика, стекло, пластик","4,4","6,5",9505109000,,,,,,,,,200,,
Деревянный пазл ,дерево,"4,7","6,8",9503006100,,,,,,,,,400,,
"головоломки, кубик рубика",Пластик,"4,3","6,4",9503006900,,,,,,,,,340,,
"Шашки, шахматы, лото, нарды","Дерево, пластик","4,3","6,4",9504908009,,,,,,,,,315,,
Надувной круг ,пвх,"4,4","6,5",9506290000,,,,,,,,,280,,
Фитнес резинка,Резина,"3,7","5,8",9506919000,,,,,,,,,350,,
Автовизитка,"Пластик, ПВХ","4,4","6,5",3926909709,,,,,,,,,170,,
Фотоаппарат мгновенной печати,Пластик,"28,9","31,1",9006400000,,,,,,,,,250,,
Тетрис,Пластик,13,"15,1",9504500002,,,,,,,,,200,,
Карандаши,Дерево,"4,8","6,9",9609101000,,,,,,,,,300,,
Попсокет,Пластик,"4,4","7,5",3926909709,,,,,,,,,270,,
Обложка для паспорта,"Кожзам, полиэстер","4,1","6,3",3926909200,,,,,,,,,270,,
Обложка для паспорта,Кожа натуральная,"11,1","13,2",4202310000,,,,,,,,,300,,
Чемодан,Пластик,"6,1","8,2",4202121900,,,,,,,,,50,,
"Статуэтки, награды","Металл, латунь, сталь","5,2","7,3",8306290009,,,,,,,,,300,,
"Статуэтки, награды","Акрил, смола","4,3","6,4",3926400000,,,,,,,,,250,,
"Статуэтки, награды",Стекло ,"4,6","6,7",7018909000,,,,,,,,,600,,
Панама,"Хлопок, полиэстер","5,1","7,2",6505009000,,,,,,,,,100,,
